Previous vote,Total,ГЕРБ,БСП,ДПС,РБ,ББЦ,НФ,АБВ,АТАКА
ГЕРБ,37.4,80,1.4,0.6,5.9,3.8,2.9,1.3,1.1
БСП,19.9,2.5,68.2,1.1,2.3,4.8,2.4,11.6,1.4
ДПС,10.4,1.1,1.4,92.5,1.2,0.8,0.4,0.3,0.8
АТАКА,5.0,5.8,2.2,1.1,4.2,5.6,7.8,2.2,64.6
НФСБ,2.5,2.7,1.4,0.5,5.4,4.5,72.9,1.4,4.5
ДБГ,1.5,7.4,2.9,4.4,55.1,8.8,4.4,7.4,1.5
ДСБ,2.9,3.9,1.2,0.4,83.1,2.0,2.0,1.2,0.8
ВМРО,1.5,6.9,5.3,1.5,4.6,9.2,55.0,3.8,4.6
Others,6.2,6.8,4.0,2.0,23.8,13.9,6.1,10.1,2.7
Non-voter,11.4,23.8,9.2,7.8,12.6,12.5,10.4,6.3,4.6
Not eligible,1.3,24.3,7.0,13.9,10.4,7.8,7.8,3.5,8.7
