Previous vote,Total,ГЕРБ,БСП,Обединени патриоти,ДПС,Воля,РБ-Глас народен,"Да, България",Нова Република,АБВ-Движение 21,ДОСТ,Others,Noone
ГЕРБ,37.2,75.5,5.1,4,0.7,4.5,1.9,2,1.4,0.9,0.3,1.9,1.7
БСП,25.2,2.6,86.5,2.1,1.1,1.5,1,0.4,0.4,1.1,0.8,1.5,0.8
ДПС,8.3,4.1,2.7,0.5,71.4,0.4,0.4,0.2,0.2,0.2,18,1.4,0.5
ББЦ,0.6,17.1,22,12.2,2.4,22,4.9,2.4,2.4,2.4,0,7.3,4.9
РБ,7.2,7.7,6.2,6.4,1,3.5,27.2,16.2,24.9,1.9,0.8,2.3,1.9
АБВ,1.9,6.5,21,0,0.8,8.9,2.4,2.4,2.4,51.6,0,3.2,0.8
Патриотичен фронт,5.5,4.6,8.2,66.7,0.5,6.3,1.1,2.7,2.2,0.5,0.5,4.6,1.9
АТАКА,2.2,4,15.4,58.4,0.7,8.1,1.3,0.7,2,0.7,0.7,4,4
Others,3.9,5.8,14.7,5.8,3.1,11.6,7,16.3,3.1,14.7,0.8,8.1,8.9
Non-voter,8.1,16.6,16.8,10.5,5.3,9.6,3.5,7,2.6,2.2,4.1,7,14.9
