Previous vote,Total,ГЕРБ-СДС,БСП,ИТН,ДПС,ДБ,Мутри вън!,ВМРО,Воля-НФСБ,Възраждане,РБ,БНО,Noone
ГЕРБ,32.65,61,3,13,1,5,2,4,1,1,2,1,1
БСП за България,27.19,2,68,10,2,2,6,2,1,1,1,1,0
Обединени патриоти,9.07,2,6,17,1,5,10,30,7,4,2,2,1
ДПС,8.99,2,3,2,89,1,0,0,0,0,1,0,0
Воля,4.15,6,4,19,2,5,7,4,36,2,1,3,0
Реформаторски блок,3.06,8,3,16,0,41,12,4,2,3,1,3,0
Движение Да България,2.88,2,2,5,2,71,7,0,0,2,2,3,1
ДОСТ,2.86,26,4,0,43,0,4,4,0,0,0,9,0
Нова република,2.48,2,0,7,9,64,2,2,0,0,0,0,0
Others,4.17,6,5,27,1,12,8,3,1,10,3,6,4
Noone,2.5,4,4,34,2,12,6,3,1,2,3,6,16
