Previous vote,Total,ГЕРБ-СДС,ИТН,БСП,ДБ,ДПС,Мутри вън!,БП,Възраждане,Българско лято,Others,Noone
ГЕРБ-СДС,25.80,84,5,1,3,1,1,1,1,1,2,1
ИТН,17.40,1,85,2,4,0,2,0,1,1,1,1
БСП,14.79,0,6,83,2,1,2,0,1,1,2,0
ДПС,10.36,1,1,3,1,90,0,0,0,0,2,1
ДБ,9.31,2,5,1,87,0,1,0,1,1,1,0
Мутри вън!,4.65,2,11,3,8,1,64,0,3,0,4,1
ВМРО,3.59,10,10,3,6,1,3,55,4,1,6,1
БНО,2.91,2,15,0,3,0,9,0,2,64,3,2
Възраждане,2.41,2,5,3,5,1,2,1,74,2,4,0
Воля-НФСБ,2.34,9,7,3,2,0,3,62,2,2,10,0
РБ,1.30,8,3,3,10,5,0,0,10,0,62,0
Others,3.67,4,11,5,18,2,3,4,7,7,34,2
Noone,1.47,7,22,4,11,1,3,2,3,3,10,32
